id,seed_id,mixing_level,text,intended_sentiment
seed_034_60,seed_034,60,The team worked really well together ו-the velocity was the highest שwe've had.,positive
seed_034_100,seed_034,100,The team worked really well together and the velocity was the highest we've had.,positive
seed_035_0,seed_035,0,כל ספרינט אנחנו מתכננים יותר ממה שאנחנו באמת מספיקים.,negative
seed_035_30,seed_035,30,כל sprint אנחנו מתכננים more ממה שאנחנו really מספיקים.,negative
seed_035_60,seed_035,60,Every sprint we plan יותר than what אנחנו actually get done.,negative
seed_035_100,seed_035,100,Every sprint we plan more than what we actually manage to finish.,negative
seed_036_0,seed_036,0,אספנו את כל המשימות הפתוחות לספרינט הבא.,neutral
seed_036_30,seed_036,30,אספנו את כל ה-open tasks ל-next sprint.,neutral
seed_036_60,seed_036,60,We collected all the open tasks ל-the next sprint.,neutral
seed_036_100,seed_036,100,We collected all the open tasks for the next sprint.,neutral
seed_037_0,seed_037,0,"הצוות עמד ביעדים השנה, כולם ממש גאים בהישג.",positive
seed_037_30,seed_037,30,"ה-team עמד ב-OKRs השנה, כולם totally גאים ב-achievement.",positive
seed_037_60,seed_037,60,"The team hit the goals השנה, everyone is totally proud of the achievement.",positive
seed_037_100,seed_037,100,"The team hit its goals this year, everyone is totally proud of the achievement.",positive
seed_038_0,seed_038,0,לא עמדנו באף אחד מהיעדים הרבעוניים והמנהלים לא מרוצים.,negative
seed_038_30,seed_038,30,לא עמדנו באף אחד מה-quarterly goals וה-managers לא satisfied.,negative
seed_038_60,seed_038,60,We didn't hit any of the quarterly goals ו-the managers aren't satisfied.,negative
seed_038_100,seed_038,100,We didn't hit any of the quarterly goals and the managers aren't satisfied.,negative
seed_039_0,seed_039,0,היעדים לרבעון הבא ייקבעו בישיבת ההנהלה בשבוע הבא.,neutral
seed_039_30,seed_039,30,ה-goals ל-next quarter ייקבעו ב-leadership meeting בשבוע הבא.,neutral
seed_039_60,seed_039,60,The goals for the next quarter will be set ב-the leadership meeting next week.,neutral
seed_039_100,seed_039,100,The goals for next quarter will be set in the leadership meeting next week.,neutral
seed_040_0,seed_040,0,"היעד המרכזי הושג מוקדם מהצפוי, זה הישג ממש יפה.",positive
seed_040_30,seed_040,30,"ה-main goal הושג earlier מהצפוי, זה really nice achievement.",positive
seed_040_60,seed_040,60,"The main goal was achieved earlier מ-expected, that's a really nice achievement.",positive
seed_040_100,seed_040,100,"The main goal was achieved earlier than expected, that's a really nice achievement.",positive
seed_041_0,seed_041,0,היעדים שהוגדרו היו לא ריאליים מלכתחילה.,negative
seed_041_30,seed_041,30,ה-goals שהוגדרו היו totally unrealistic מלכתחילה.,negative
seed_041_60,seed_041,60,The goals שwere set were totally unrealistic from the start.,negative
seed_041_100,seed_041,100,The goals that were set were totally unrealistic from the start.,negative
seed_042_0,seed_042,0,עדכנו את היעדים באמצע הרבעון בעקבות שינוי בעדיפויות.,neutral
seed_042_30,seed_042,30,עדכנו את ה-goals באמצע ה-quarter בעקבות change בעדיפויות.,neutral
seed_042_60,seed_042,60,We updated the goals באמצע the quarter following a change בpriorities.,neutral
seed_042_100,seed_042,100,We updated the goals mid-quarter following a change in priorities.,neutral
seed_043_0,seed_043,0,"עשיתי קומיט קטן וממוקד, הכי קל להבין מה השתנה.",positive
seed_043_30,seed_043,30,"עשיתי commit קטן וfocused, הכי easy להבין מה השתנה.",positive
seed_043_60,seed_043,60,"I made a small, focused commit, the easiest way להבין what changed.",positive
seed_043_100,seed_043,100,"I made a small, focused commit — the easiest way to understand what changed.",positive
seed_044_0,seed_044,0,הריבייס יצא ממש מסובך ונתקענו איתו כל הבוקר.,negative
seed_044_30,seed_044,30,ה-rebase יצא really complicated ונתקענו איתו כל ה-morning.,negative
seed_044_60,seed_044,60,The rebase turned out really complicated ו-we got stuck with it all morning.,negative
seed_044_100,seed_044,100,The rebase turned out really complicated and we got stuck with it all morning.,negative
seed_045_0,seed_045,0,פתחתי ברנצ' חדש בשביל הפיצ'ר.,neutral
seed_045_30,seed_045,30,פתחתי branch חדש בשביל ה-feature.,neutral
seed_045_60,seed_045,60,I opened a new branch בשביל the feature.,neutral
seed_045_100,seed_045,100,I opened a new branch for the feature.,neutral
seed_046_0,seed_046,0,ניסיתי לעשות פוש ונתקלתי בקונפליקטים בכל קובץ.,negative
seed_046_30,seed_046,30,ניסיתי לעשות push ונתקלתי ב-conflicts בכל file.,negative
seed_046_60,seed_046,60,I tried to push ו-ran into conflicts בevery file.,negative
seed_046_100,seed_046,100,I tried to push and ran into conflicts in every file.,negative
seed_047_0,seed_047,0,המרג' עבר חלק בלי שום קונפליקט.,positive
seed_047_30,seed_047,30,ה-merge עבר smoothly בלי שום conflict.,positive
seed_047_60,seed_047,60,The merge went smoothly בלי any conflict.,positive
seed_047_100,seed_047,100,The merge went smoothly without any conflict.,positive
seed_048_0,seed_048,0,מישהו דחף ישר לברנצ' הראשי בלי לעשות פול ריקווסט.,negative
seed_048_30,seed_048,30,מישהו pushed ישר ל-main branch בלי לעשות PR.,negative
seed_048_60,seed_048,60,Someone pushed straight ל-the main branch without doing a PR.,negative
seed_048_100,seed_048,100,Someone pushed straight to the main branch without doing a PR.,negative
seed_049_0,seed_049,0,הפוד קרס שוב והקלאסטר לא הצליח להרים אותו מחדש.,negative
seed_049_30,seed_049,30,ה-pod קרס again וה-cluster לא הצליח להרים אותו מחדש.,negative
seed_049_60,seed_049,60,The pod crashed again ו-the cluster couldn't bring it back up.,negative
seed_049_100,seed_049,100,The pod crashed again and the cluster couldn't bring it back up.,negative
seed_050_0,seed_050,0,המעבר למיקרוסרביסים הפחית משמעותית את הזמן שלוקח לשחרר פיצ'ר.,positive
seed_050_30,seed_050,30,ה-move ל-microservices הפחית significantly את הזמן שלוקח לשחרר feature.,positive
seed_050_60,seed_050,60,The move to microservices significantly reduced את the time it takes to ship a feature.,positive
seed_050_100,seed_050,100,The move to microservices significantly reduced the time it takes to ship a feature.,positive
seed_051_0,seed_051,0,האנדפוינט החדש עולה בסוף השבוע.,neutral
seed_051_30,seed_051,30,ה-new endpoint עולה בסוף ה-week.,neutral
seed_051_60,seed_051,60,The new endpoint is going live בסוף the week.,neutral
seed_051_100,seed_051,100,The new endpoint is going live at the end of the week.,neutral
seed_052_0,seed_052,0,הלואד באלאנסר לא חילק את התעבורה נכון והשרת אחד קרס מעומס.,negative
seed_052_30,seed_052,30,ה-load balancer לא חילק את ה-traffic נכון והשרת אחד קרס מ-overload.,negative
seed_052_60,seed_052,60,The load balancer didn't distribute את the traffic correctly ו-one server crashed from overload.,negative
seed_052_100,seed_052,100,The load balancer didn't distribute the traffic correctly and one server crashed from overload.,negative
seed_053_0,seed_053,0,הוספנו קאש וזמן התגובה של הקליינט ירד דרמטית.,positive
seed_053_30,seed_053,30,הוספנו cache וזמן ה-response של ה-client ירד dramatically.,positive
seed_053_60,seed_053,60,We added a cache ו-the client's response time dropped dramatically.,positive
seed_053_100,seed_053,100,We added a cache and the client's response time dropped dramatically.,positive
seed_054_0,seed_054,0,הדוקר לא עלה על הנוד החדש בגלל בעיית קונפיגורציה.,negative
seed_054_30,seed_054,30,ה-docker לא עלה על ה-new node בגלל configuration issue.,negative
seed_054_60,seed_054,60,The docker container didn't come up ה-new node due to a configuration issue.,negative
seed_054_100,seed_054,100,The docker container didn't come up on the new node due to a configuration issue.,negative
seed_055_0,seed_055,0,המיגרציה נכשלה באמצע והשארנו את הדאטהבייס במצב לא עקבי.,negative
seed_055_30,seed_055,30,ה-migration נכשלה באמצע והשארנו את ה-database במצב inconsistent.,negative
seed_055_60,seed_055,60,The migration failed באמצע ו-we left the database in an inconsistent state.,negative
seed_055_100,seed_055,100,The migration failed halfway through and we left the database in an inconsistent state.,negative
seed_056_0,seed_056,0,הוספנו אינדקס לטבלה והקוורי שהיה איטי הפך למהיר פי עשר.,positive
seed_056_30,seed_056,30,הוספנו index ל-table וה-query שהיה slow הפך למהיר פי ten.,positive
seed_056_60,seed_056,60,We added an index ל-the table ו-the slow query became ten times faster.,positive
seed_056_100,seed_056,100,We added an index to the table and the slow query became ten times faster.,positive
seed_057_0,seed_057,0,אנחנו מריצים בקאפ לדאטהבייס כל לילה.,neutral
seed_057_30,seed_057,30,אנחנו מריצים backup ל-database כל night.,neutral
seed_057_60,seed_057,60,We run a backup ל-the database כל night.,neutral
seed_057_100,seed_057,100,We run a backup of the database every night.,neutral
seed_058_0,seed_058,0,השאילתה הזאת סורקת את כל הטייבל וזה הורג את הביצועים.,negative
seed_058_30,seed_058,30,ה-query הזאת סורקת את כל ה-table וזה totally הורג את ה-performance.,negative
seed_058_60,seed_058,60,This query scans את the whole table ו-it's totally killing performance.,negative
seed_058_100,seed_058,100,This query scans the whole table and it's totally killing performance.,negative
seed_059_0,seed_059,0,עדכנו את הסכמה בלי לשבור אף שירות קיים.,positive
seed_059_30,seed_059,30,עדכנו את ה-schema בלי לשבור אף existing service.,positive
seed_059_60,seed_059,60,We updated the schema בלי breaking any existing service.,positive
seed_059_100,seed_059,100,We updated the schema without breaking any existing service.,positive
seed_060_0,seed_060,0,הפייפליין נשבר בגלל שינוי קטן וכל הצוות נתקע בלי יכולת לשחרר קוד.,negative
seed_060_30,seed_060,30,ה-pipeline נשבר בגלל small change וכל ה-team נתקע בלי יכולת לשחרר code.,negative
seed_060_60,seed_060,60,The pipeline broke בגלל a small change ו-the whole team got stuck unable to ship code.,negative
seed_060_100,seed_060,100,"The pipeline broke because of a small change and the whole team got stuck, unable to ship code.",negative
seed_061_0,seed_061,0,הוספנו מוניטורינג ומטריקות וכל בעיה נתפסת הרבה לפני שהיא מגיעה ללקוחות.,positive
seed_061_30,seed_061,30,הוספנו monitoring ו-metrics וכל issue נתפסת much earlier לפני שהיא מגיעה ל-customers.,positive
seed_061_60,seed_061,60,We added monitoring and metrics ו-every issue gets caught much earlier before it reaches customers.,positive
seed_061_100,seed_061,100,"We added monitoring and metrics and every issue gets caught much earlier, before it reaches customers.",positive
seed_062_0,seed_062,0,יש לנו דשבורד שמציג את כל המטריקות של האינפרה.,neutral
seed_062_30,seed_062,30,יש לנו dashboard שמציג את כל ה-metrics של ה-infra.,neutral
seed_062_60,seed_062,60,We have a dashboard שshows all the metrics of the infra.,neutral
seed_062_100,seed_062,100,We have a dashboard that shows all the infra metrics.,neutral
seed_063_0,seed_063,0,קיבלנו עשרות אלרטים בלילה ואף אחד מהם לא היה רלוונטי באמת.,negative
seed_063_30,seed_063,30,קיבלנו dozens of alerts בלילה ואף אחד מהם לא היה really relevant.,negative
seed_063_60,seed_063,60,We got dozens of alerts בלילה ו-none of them were actually relevant.,negative
seed_063_100,seed_063,100,We got dozens of alerts overnight and none of them were actually relevant.,negative
seed_064_0,seed_064,0,הטרייס עזר לנו לאתר בדיוק איפה הבקשה נתקעת.,positive
seed_064_30,seed_064,30,ה-trace עזר לנו לאתר exactly איפה ה-request נתקעת.,positive
seed_064_60,seed_064,60,The trace helped us לאתר exactly where the request gets stuck.,positive
seed_064_100,seed_064,100,The trace helped us pinpoint exactly where the request gets stuck.,positive
seed_065_0,seed_065,0,המודל רץ באינפרנס עם זמן תגובה של כמה מאות מילישניות.,neutral
seed_065_30,seed_065,30,ה-model רץ ב-inference עם response time של כמה מאות milliseconds.,neutral
seed_065_60,seed_065,60,The model runs באינפרנס with a response time of a few hundred milliseconds.,neutral
seed_065_100,seed_065,100,The model runs inference with a response time of a few hundred milliseconds.,neutral
seed_066_0,seed_066,0,אחרי הפיין-טיונינג המודל נתן תשובות הרבה יותר מדויקות.,positive
seed_066_30,seed_066,30,אחרי ה-fine-tuning ה-model נתן answers הרבה יותר accurate.,positive
seed_066_60,seed_066,60,After fine-tuning the model gave answers שwere much more accurate.,positive
seed_066_100,seed_066,100,"After fine-tuning, the model gave answers that were much more accurate.",positive
seed_067_0,seed_067,0,הפרומפט לא עבד טוב והמודל החזיר תשובות לא רלוונטיות.,negative
seed_067_30,seed_067,30,ה-prompt לא עבד well וה-model החזיר irrelevant answers.,negative
seed_067_60,seed_067,60,The prompt didn't work well ו-the model returned irrelevant answers.,negative
seed_067_100,seed_067,100,The prompt didn't work well and the model returned irrelevant answers.,negative
seed_068_0,seed_068,0,האמבדינגים לא הצליחו להפריד בין המשפטים בצורה ברורה.,negative
seed_068_30,seed_068,30,ה-embeddings לא הצליחו להפריד בין ה-sentences בצורה clear.,negative
seed_068_60,seed_068,60,The embeddings didn't manage להפריד between the sentences clearly.,negative
seed_068_100,seed_068,100,The embeddings didn't manage to separate the sentences clearly.,negative
seed_069_0,seed_069,0,הוספנו שכבת אחזור מידע עם וקטור דאטהבייס והתשובות הפכו הרבה יותר מדויקות.,positive
seed_069_30,seed_069,30,הוספנו retrieval layer עם vector database והתשובות הפכו הרבה יותר accurate.,positive
seed_069_60,seed_069,60,We added a retrieval layer עם a vector database ו-the answers became much more accurate.,positive
seed_069_100,seed_069,100,We added a retrieval layer with a vector database and the answers became much more accurate.,positive
seed_070_0,seed_070,0,האייג'נט משתמש בכלים חיצוניים כדי להשלים את המשימה.,neutral
seed_070_30,seed_070,30,ה-agent משתמש ב-external tools כדי להשלים את ה-task.,neutral
seed_070_60,seed_070,60,The agent uses external tools כדי to complete the task.,neutral
seed_070_100,seed_070,100,The agent uses external tools to complete the task.,neutral
seed_071_0,seed_071,0,קיבלתי אופר אחרי האונסייט וזה הרגיש כמו הישג ענק.,positive
seed_071_30,seed_071,30,קיבלתי offer אחרי ה-onsite וזה הרגיש totally like a huge achievement.,positive
seed_071_60,seed_071,60,I got an offer אחרי the onsite ו-it totally felt like a huge achievement.,positive
seed_071_100,seed_071,100,I got an offer after the onsite and it totally felt like a huge achievement.,positive
seed_072_0,seed_072,0,הסקרינינג הראשון היה ממש לא מאורגן ולקח שבועיים לקבל תשובה.,negative
seed_072_30,seed_072,30,ה-first screening היה really unorganized ולקח two weeks לקבל answer.,negative
seed_072_60,seed_072,60,The first screening was really unorganized ו-it took two weeks to get an answer.,negative
seed_072_100,seed_072,100,The first screening was really unorganized and it took two weeks to get an answer.,negative
seed_073_0,seed_073,0,שלחתי רפרל לחבר שלי לתפקיד בצוות.,neutral
seed_073_30,seed_073,30,שלחתי referral לחבר שלי ל-position ב-team.,neutral
seed_073_60,seed_073,60,I sent a referral לa friend of mine ל-a position on the team.,neutral
seed_073_100,seed_073,100,I sent a referral for a friend of mine for a position on the team.,neutral
seed_074_0,seed_074,0,קיבלתי פרומושן ללבל הבא אחרי שנה של עבודה קשה.,positive
seed_074_30,seed_074,30,קיבלתי promotion ל-next level אחרי year של hard work.,positive
seed_074_60,seed_074,60,I got a promotion to the next level אחרי a year of hard work.,positive
seed_074_100,seed_074,100,I got a promotion to the next level after a year of hard work.,positive
seed_075_0,seed_075,0,הפידבק שקיבלתי היה כללי מדי ולא עזר לי להבין מה לשפר.,negative
seed_075_30,seed_075,30,ה-feedback שקיבלתי היה too generic ולא עזר לי להבין מה לשפר.,negative
seed_075_60,seed_075,60,The feedback I got was too generic ולא helped me understand what to improve.,negative
seed_075_100,seed_075,100,The feedback I got was too generic and didn't help me understand what to improve.,negative
seed_076_0,seed_076,0,יש לנו בלוקר שמונע מאיתנו להתקדם כבר יומיים.,negative
seed_076_30,seed_076,30,יש לנו blocker שמונע מאיתנו להתקדם כבר two days.,negative
