id,mixing_level,text,sentiment
seed_036_0,0,אספנו את כל המשימות הפתוחות לספרינט הבא.,neutral
seed_036_100,100,We collected all the open tasks for the next sprint.,neutral
seed_036_30,30,אספנו את כל ה-open tasks ל-next sprint.,neutral
seed_036_60,60,We collected all the open tasks ל-the next sprint.,neutral
seed_037_0,0,"הצוות עמד ביעדים השנה, כולם ממש גאים בהישג.",positive
seed_037_100,100,"The team hit its goals this year, everyone is totally proud of the achievement.",positive
seed_037_30,30,"ה-team עמד ב-OKRs השנה, כולם totally גאים ב-achievement.",positive
seed_037_60,60,"The team hit the goals השנה, everyone is totally proud of the achievement.",positive
seed_038_0,0,לא עמדנו באף אחד מהיעדים הרבעוניים והמנהלים לא מרוצים.,negative
seed_038_100,100,We didn't hit any of the quarterly goals and the managers aren't satisfied.,negative
seed_038_30,30,לא עמדנו באף אחד מה-quarterly goals וה-managers לא satisfied.,negative
seed_038_60,60,We didn't hit any of the quarterly goals ו-the managers aren't satisfied.,negative
seed_039_0,0,היעדים לרבעון הבא ייקבעו בישיבת ההנהלה בשבוע הבא.,neutral
seed_039_100,100,The goals for next quarter will be set in the leadership meeting next week.,neutral
seed_039_30,30,ה-goals ל-next quarter ייקבעו ב-leadership meeting בשבוע הבא.,neutral
seed_039_60,60,The goals for the next quarter will be set ב-the leadership meeting next week.,neutral
seed_040_0,0,"היעד המרכזי הושג מוקדם מהצפוי, זה הישג ממש יפה.",positive
seed_040_100,100,"The main goal was achieved earlier than expected, that's a really nice achievement.",positive
seed_040_30,30,"ה-main goal הושג earlier מהצפוי, זה really nice achievement.",positive
seed_040_60,60,"The main goal was achieved earlier מ-expected, that's a really nice achievement.",positive
seed_041_0,0,היעדים שהוגדרו היו לא ריאליים מלכתחילה.,negative
seed_041_100,100,The goals that were set were totally unrealistic from the start.,negative
seed_041_30,30,ה-goals שהוגדרו היו totally unrealistic מלכתחילה.,negative
seed_041_60,60,The goals שwere set were totally unrealistic from the start.,negative
seed_042_0,0,עדכנו את היעדים באמצע הרבעון בעקבות שינוי בעדיפויות.,neutral
seed_042_100,100,We updated the goals mid-quarter following a change in priorities.,neutral
seed_042_30,30,עדכנו את ה-goals באמצע ה-quarter בעקבות change בעדיפויות.,neutral
seed_042_60,60,We updated the goals באמצע the quarter following a change בpriorities.,neutral
seed_043_0,0,"עשיתי קומיט קטן וממוקד, הכי קל להבין מה השתנה.",positive
seed_043_100,100,"I made a small, focused commit — the easiest way to understand what changed.",positive
seed_043_30,30,"עשיתי commit קטן וfocused, הכי easy להבין מה השתנה.",positive
seed_043_60,60,"I made a small, focused commit, the easiest way להבין what changed.",positive
seed_044_0,0,הריבייס יצא ממש מסובך ונתקענו איתו כל הבוקר.,negative
seed_044_100,100,The rebase turned out really complicated and we got stuck with it all morning.,negative
seed_044_30,30,ה-rebase יצא really complicated ונתקענו איתו כל ה-morning.,negative
seed_044_60,60,The rebase turned out really complicated ו-we got stuck with it all morning.,negative
seed_045_0,0,פתחתי ברנצ' חדש בשביל הפיצ'ר.,neutral
seed_045_100,100,I opened a new branch for the feature.,neutral
seed_045_30,30,פתחתי branch חדש בשביל ה-feature.,neutral
seed_045_60,60,I opened a new branch בשביל the feature.,neutral
seed_046_0,0,ניסיתי לעשות פוש ונתקלתי בקונפליקטים בכל קובץ.,negative
seed_046_100,100,I tried to push and ran into conflicts in every file.,negative
seed_046_30,30,ניסיתי לעשות push ונתקלתי ב-conflicts בכל file.,negative
seed_046_60,60,I tried to push ו-ran into conflicts בevery file.,negative
seed_047_0,0,המרג' עבר חלק בלי שום קונפליקט.,positive
seed_047_100,100,The merge went smoothly without any conflict.,positive
seed_047_30,30,ה-merge עבר smoothly בלי שום conflict.,positive
seed_047_60,60,The merge went smoothly בלי any conflict.,positive
seed_048_0,0,מישהו דחף ישר לברנצ' הראשי בלי לעשות פול ריקווסט.,negative
seed_048_100,100,Someone pushed straight to the main branch without doing a PR.,negative
seed_048_30,30,מישהו pushed ישר ל-main branch בלי לעשות PR.,negative
seed_048_60,60,Someone pushed straight ל-the main branch without doing a PR.,negative
seed_049_0,0,הפוד קרס שוב והקלאסטר לא הצליח להרים אותו מחדש.,negative
seed_049_100,100,The pod crashed again and the cluster couldn't bring it back up.,negative
seed_049_30,30,ה-pod קרס again וה-cluster לא הצליח להרים אותו מחדש.,negative
seed_049_60,60,The pod crashed again ו-the cluster couldn't bring it back up.,negative
seed_050_0,0,המעבר למיקרוסרביסים הפחית משמעותית את הזמן שלוקח לשחרר פיצ'ר.,positive
seed_050_100,100,The move to microservices significantly reduced the time it takes to ship a feature.,positive
seed_050_30,30,ה-move ל-microservices הפחית significantly את הזמן שלוקח לשחרר feature.,positive
seed_050_60,60,The move to microservices significantly reduced את the time it takes to ship a feature.,positive
seed_051_0,0,האנדפוינט החדש עולה בסוף השבוע.,neutral
seed_051_100,100,The new endpoint is going live at the end of the week.,neutral
seed_051_30,30,ה-new endpoint עולה בסוף ה-week.,neutral
seed_051_60,60,The new endpoint is going live בסוף the week.,neutral
seed_052_0,0,הלואד באלאנסר לא חילק את התעבורה נכון והשרת אחד קרס מעומס.,negative
seed_052_100,100,The load balancer didn't distribute the traffic correctly and one server crashed from overload.,negative
seed_052_30,30,ה-load balancer לא חילק את ה-traffic נכון והשרת אחד קרס מ-overload.,negative
seed_052_60,60,The load balancer didn't distribute את the traffic correctly ו-one server crashed from overload.,negative
seed_053_0,0,הוספנו קאש וזמן התגובה של הקליינט ירד דרמטית.,positive
seed_053_100,100,We added a cache and the client's response time dropped dramatically.,positive
seed_053_30,30,הוספנו cache וזמן ה-response של ה-client ירד dramatically.,positive
seed_053_60,60,We added a cache ו-the client's response time dropped dramatically.,positive
seed_054_0,0,הדוקר לא עלה על הנוד החדש בגלל בעיית קונפיגורציה.,negative
seed_054_100,100,The docker container didn't come up on the new node due to a configuration issue.,negative
seed_054_30,30,ה-docker לא עלה על ה-new node בגלל configuration issue.,negative
seed_054_60,60,The docker container didn't come up ה-new node due to a configuration issue.,negative
seed_055_0,0,המיגרציה נכשלה באמצע והשארנו את הדאטהבייס במצב לא עקבי.,negative
seed_055_100,100,The migration failed halfway through and we left the database in an inconsistent state.,negative
seed_055_30,30,ה-migration נכשלה באמצע והשארנו את ה-database במצב inconsistent.,negative
seed_055_60,60,The migration failed באמצע ו-we left the database in an inconsistent state.,negative
seed_056_0,0,הוספנו אינדקס לטבלה והקוורי שהיה איטי הפך למהיר פי עשר.,positive
seed_056_100,100,We added an index to the table and the slow query became ten times faster.,positive
seed_056_30,30,הוספנו index ל-table וה-query שהיה slow הפך למהיר פי ten.,positive
seed_056_60,60,We added an index ל-the table ו-the slow query became ten times faster.,positive
seed_057_0,0,אנחנו מריצים בקאפ לדאטהבייס כל לילה.,neutral
seed_057_100,100,We run a backup of the database every night.,neutral
seed_057_30,30,אנחנו מריצים backup ל-database כל night.,neutral
seed_057_60,60,We run a backup ל-the database כל night.,neutral
seed_058_0,0,השאילתה הזאת סורקת את כל הטייבל וזה הורג את הביצועים.,negative
seed_058_100,100,This query scans the whole table and it's totally killing performance.,negative
seed_058_30,30,ה-query הזאת סורקת את כל ה-table וזה totally הורג את ה-performance.,negative
seed_058_60,60,This query scans את the whole table ו-it's totally killing performance.,negative
seed_059_0,0,עדכנו את הסכמה בלי לשבור אף שירות קיים.,positive
seed_059_100,100,We updated the schema without breaking any existing service.,positive
seed_059_30,30,עדכנו את ה-schema בלי לשבור אף existing service.,positive
seed_059_60,60,We updated the schema בלי breaking any existing service.,positive
seed_060_0,0,הפייפליין נשבר בגלל שינוי קטן וכל הצוות נתקע בלי יכולת לשחרר קוד.,negative
seed_060_100,100,"The pipeline broke because of a small change and the whole team got stuck, unable to ship code.",negative
seed_060_30,30,ה-pipeline נשבר בגלל small change וכל ה-team נתקע בלי יכולת לשחרר code.,negative
seed_060_60,60,The pipeline broke בגלל a small change ו-the whole team got stuck unable to ship code.,negative
seed_061_0,0,הוספנו מוניטורינג ומטריקות וכל בעיה נתפסת הרבה לפני שהיא מגיעה ללקוחות.,positive
seed_061_100,100,"We added monitoring and metrics and every issue gets caught much earlier, before it reaches customers.",positive
seed_061_30,30,הוספנו monitoring ו-metrics וכל issue נתפסת much earlier לפני שהיא מגיעה ל-customers.,positive
seed_061_60,60,We added monitoring and metrics ו-every issue gets caught much earlier before it reaches customers.,positive
seed_062_0,0,יש לנו דשבורד שמציג את כל המטריקות של האינפרה.,neutral
seed_062_100,100,We have a dashboard that shows all the infra metrics.,neutral
seed_062_30,30,יש לנו dashboard שמציג את כל ה-metrics של ה-infra.,neutral
seed_062_60,60,We have a dashboard שshows all the metrics of the infra.,neutral
seed_063_0,0,קיבלנו עשרות אלרטים בלילה ואף אחד מהם לא היה רלוונטי באמת.,negative
seed_063_100,100,We got dozens of alerts overnight and none of them were actually relevant.,negative
seed_063_30,30,קיבלנו dozens of alerts בלילה ואף אחד מהם לא היה really relevant.,negative
seed_063_60,60,We got dozens of alerts בלילה ו-none of them were actually relevant.,negative
seed_064_0,0,הטרייס עזר לנו לאתר בדיוק איפה הבקשה נתקעת.,positive
seed_064_100,100,The trace helped us pinpoint exactly where the request gets stuck.,positive
seed_064_30,30,ה-trace עזר לנו לאתר exactly איפה ה-request נתקעת.,positive
seed_064_60,60,The trace helped us לאתר exactly where the request gets stuck.,positive
seed_065_0,0,המודל רץ באינפרנס עם זמן תגובה של כמה מאות מילישניות.,neutral
seed_065_100,100,The model runs inference with a response time of a few hundred milliseconds.,neutral
seed_065_30,30,ה-model רץ ב-inference עם response time של כמה מאות milliseconds.,neutral
seed_065_60,60,The model runs באינפרנס with a response time of a few hundred milliseconds.,neutral
seed_066_0,0,אחרי הפיין-טיונינג המודל נתן תשובות הרבה יותר מדויקות.,positive
seed_066_100,100,"After fine-tuning, the model gave answers that were much more accurate.",positive
seed_066_30,30,אחרי ה-fine-tuning ה-model נתן answers הרבה יותר accurate.,positive
seed_066_60,60,After fine-tuning the model gave answers שwere much more accurate.,positive
seed_067_0,0,הפרומפט לא עבד טוב והמודל החזיר תשובות לא רלוונטיות.,negative
seed_067_100,100,The prompt didn't work well and the model returned irrelevant answers.,negative
seed_067_30,30,ה-prompt לא עבד well וה-model החזיר irrelevant answers.,negative
seed_067_60,60,The prompt didn't work well ו-the model returned irrelevant answers.,negative
seed_068_0,0,האמבדינגים לא הצליחו להפריד בין המשפטים בצורה ברורה.,negative
seed_068_100,100,The embeddings didn't manage to separate the sentences clearly.,negative
seed_068_30,30,ה-embeddings לא הצליחו להפריד בין ה-sentences בצורה clear.,negative
seed_068_60,60,The embeddings didn't manage להפריד between the sentences clearly.,negative
seed_069_0,0,הוספנו שכבת אחזור מידע עם וקטור דאטהבייס והתשובות הפכו הרבה יותר מדויקות.,positive
seed_069_100,100,We added a retrieval layer with a vector database and the answers became much more accurate.,positive
seed_069_30,30,הוספנו retrieval layer עם vector database והתשובות הפכו הרבה יותר accurate.,positive
seed_069_60,60,We added a retrieval layer עם a vector database ו-the answers became much more accurate.,positive
seed_070_0,0,האייג'נט משתמש בכלים חיצוניים כדי להשלים את המשימה.,neutral
seed_070_100,100,The agent uses external tools to complete the task.,neutral
seed_070_30,30,ה-agent משתמש ב-external tools כדי להשלים את ה-task.,neutral
seed_070_60,60,The agent uses external tools כדי to complete the task.,neutral
seed_071_0,0,קיבלתי אופר אחרי האונסייט וזה הרגיש כמו הישג ענק.,positive
seed_071_100,100,I got an offer after the onsite and it totally felt like a huge achievement.,positive
seed_071_30,30,קיבלתי offer אחרי ה-onsite וזה הרגיש totally like a huge achievement.,positive
seed_071_60,60,I got an offer אחרי the onsite ו-it totally felt like a huge achievement.,positive
seed_072_0,0,הסקרינינג הראשון היה ממש לא מאורגן ולקח שבועיים לקבל תשובה.,negative
seed_072_100,100,The first screening was really unorganized and it took two weeks to get an answer.,negative
seed_072_30,30,ה-first screening היה really unorganized ולקח two weeks לקבל answer.,negative
seed_072_60,60,The first screening was really unorganized ו-it took two weeks to get an answer.,negative
seed_073_0,0,שלחתי רפרל לחבר שלי לתפקיד בצוות.,neutral
seed_073_100,100,I sent a referral for a friend of mine for a position on the team.,neutral
seed_073_30,30,שלחתי referral לחבר שלי ל-position ב-team.,neutral
seed_073_60,60,I sent a referral לa friend of mine ל-a position on the team.,neutral
seed_074_0,0,קיבלתי פרומושן ללבל הבא אחרי שנה של עבודה קשה.,positive
seed_074_100,100,I got a promotion to the next level after a year of hard work.,positive
seed_074_30,30,קיבלתי promotion ל-next level אחרי year של hard work.,positive
seed_074_60,60,I got a promotion to the next level אחרי a year of hard work.,positive
seed_075_0,0,הפידבק שקיבלתי היה כללי מדי ולא עזר לי להבין מה לשפר.,negative
seed_075_100,100,The feedback I got was too generic and didn't help me understand what to improve.,negative
seed_075_30,30,ה-feedback שקיבלתי היה too generic ולא עזר לי להבין מה לשפר.,negative
seed_075_60,60,The feedback I got was too generic ולא helped me understand what to improve.,negative
seed_076_0,0,יש לנו בלוקר שמונע מאיתנו להתקדם כבר יומיים.,negative
seed_076_100,100,We have a blocker that's been preventing us from moving forward for two days already.,negative
seed_076_30,30,יש לנו blocker שמונע מאיתנו להתקדם כבר two days.,negative
seed_076_60,60,We have a blocker שpreventing us from moving forward for two days already.,negative
seed_077_0,0,הדדליין הזה לא ריאלי מלכתחילה ולא נספיק.,negative
seed_077_100,100,This deadline is totally unrealistic from the start and we're not going to make it.,negative
seed_077_30,30,ה-deadline הזה totally unrealistic מלכתחילה ולא נספיק.,negative
seed_077_60,60,This deadline is totally unrealistic from the start ו-we're not going to make it.,negative
seed_078_0,0,בוא נעשה סינק קצר לפני הישיבה.,neutral
seed_078_100,100,Let's do a quick sync before the meeting.,neutral
seed_078_30,30,בוא נעשה sync קצר לפני ה-meeting.,neutral
seed_078_60,60,Let's do a quick sync לפני the meeting.,neutral
seed_079_0,0,תן לי אפדייט על הטיקט הזה.,neutral
seed_079_100,100,Give me an update on this ticket.,neutral
seed_079_30,30,תן לי update על ה-ticket הזה.,neutral
seed_079_60,60,Give me an update על this ticket.,neutral
seed_080_0,0,הטיקט הזה כבר שבועיים בבקלוג ואף אחד לא נגע בו.,negative
seed_080_100,100,This ticket has been sitting in the backlog for two weeks and nobody's touched it.,negative
seed_080_30,30,ה-ticket הזה כבר two weeks ב-backlog ואף אחד לא נגע בו.,negative
seed_080_60,60,This ticket has been ב-the backlog for two weeks ו-nobody touched it.,negative
seed_081_0,0,"הרטרו הפעם היה כן ופתוח, כולם העלו נקודות אמיתיות.",positive
seed_081_100,100,"The retro this time was totally honest and open, everyone raised real points.",positive
seed_081_30,30,"ה-retro הפעם היה totally honest ו-open, כולם raised real points.",positive
seed_081_60,60,"The retro הפעם was totally honest and open, everyone raised real points.",positive
seed_082_0,0,"הסטנדאפ היה קצר וממוקד, בדיוק כמו שצריך.",positive
seed_082_100,100,"The standup was short and focused, exactly the way it should be.",positive
seed_082_30,30,"ה-standup היה short וfocused, exactly כמו שצריך.",positive
seed_082_60,60,"The standup was short and focused, exactly like it should be.",positive
seed_083_0,0,הגרומינג נמשך שעה שלמה על טיקט אחד קטן.,negative
seed_083_100,100,The grooming session went on for a whole hour over one small ticket.,negative
seed_083_30,30,ה-grooming נמשך a whole hour על ticket אחד קטן.,negative
seed_083_60,60,The grooming session went on for a whole hour על one small ticket.,negative
seed_084_0,0,"האסטימציה שלנו הייתה רחוקה מהמציאות, לקח פי שלוש מהזמן.",negative
seed_084_100,100,Our estimation was totally off — it took three times as long.,negative
seed_084_30,30,"ה-estimation שלנו הייתה totally off, לקח פי three מהזמן.",negative
seed_084_60,60,"Our estimation was totally off, it took three times as long.",negative
seed_085_0,0,"האונר של הטיקט הזה לא ברור, כל אחד חושב שזה מישהו אחר.",negative
seed_085_100,100,"The owner of this ticket isn't clear, everyone thinks it's someone else.",negative
seed_085_30,30,"ה-owner של ה-ticket הזה לא clear, כל אחד חושב שזה מישהו אחר.",negative
seed_085_60,60,"The owner של this ticket isn't clear, everyone thinks it's someone else.",negative
seed_086_0,0,העליתי את הריפו לגישה של כל הצוות.,neutral
seed_086_100,100,I made the repo accessible to the whole team.,neutral
