id,hebrew_text,intended_sentiment
seed_062,יש לנו דשבורד שמציג את כל המטריקות של האינפרה.,neutral
seed_063,קיבלנו עשרות אלרטים בלילה ואף אחד מהם לא היה רלוונטי באמת.,negative
seed_064,הטרייס עזר לנו לאתר בדיוק איפה הבקשה נתקעת.,positive
seed_065,המודל רץ באינפרנס עם זמן תגובה של כמה מאות מילישניות.,neutral
seed_066,אחרי הפיין-טיונינג המודל נתן תשובות הרבה יותר מדויקות.,positive
seed_067,הפרומפט לא עבד טוב והמודל החזיר תשובות לא רלוונטיות.,negative
seed_068,האמבדינגים לא הצליחו להפריד בין המשפטים בצורה ברורה.,negative
seed_069,הוספנו שכבת אחזור מידע עם וקטור דאטהבייס והתשובות הפכו הרבה יותר מדויקות.,positive
seed_070,האייג'נט משתמש בכלים חיצוניים כדי להשלים את המשימה.,neutral
seed_071,קיבלתי אופר אחרי האונסייט וזה הרגיש כמו הישג ענק.,positive
seed_072,הסקרינינג הראשון היה ממש לא מאורגן ולקח שבועיים לקבל תשובה.,negative
seed_073,שלחתי רפרל לחבר שלי לתפקיד בצוות.,neutral
seed_074,קיבלתי פרומושן ללבל הבא אחרי שנה של עבודה קשה.,positive
seed_075,הפידבק שקיבלתי היה כללי מדי ולא עזר לי להבין מה לשפר.,negative
seed_076,יש לנו בלוקר שמונע מאיתנו להתקדם כבר יומיים.,negative
seed_077,הדדליין הזה לא ריאלי מלכתחילה ולא נספיק.,negative
seed_078,בוא נעשה סינק קצר לפני הישיבה.,neutral
seed_079,תן לי אפדייט על הטיקט הזה.,neutral
seed_080,הטיקט הזה כבר שבועיים בבקלוג ואף אחד לא נגע בו.,negative
seed_081,"הרטרו הפעם היה כן ופתוח, כולם העלו נקודות אמיתיות.",positive
seed_082,"הסטנדאפ היה קצר וממוקד, בדיוק כמו שצריך.",positive
seed_083,הגרומינג נמשך שעה שלמה על טיקט אחד קטן.,negative
seed_084,"האסטימציה שלנו הייתה רחוקה מהמציאות, לקח פי שלוש מהזמן.",negative
seed_085,"האונר של הטיקט הזה לא ברור, כל אחד חושב שזה מישהו אחר.",negative
seed_086,העליתי את הריפו לגישה של כל הצוות.,neutral
seed_087,הבילד נכשל בגלל תלות שהשתנתה בלי שידענו.,negative
seed_088,הריליס יצא בזמן ובלי אף באג ידוע.,positive
seed_089,עשיתי פיקס מהיר לבאג הקריטי תוך עשר דקות.,positive
seed_090,שחררנו פאץ' קטן לתיקון הבעיה מאתמול.,neutral
seed_091,הריפקטור לקח הרבה יותר זמן ממה שתכננו וכמעט שבר הכול.,negative
seed_092,בזבזתי את כל הבוקר בדיבאג של בעיה שהתבררה כטריוויאלית.,negative
seed_093,בוא נבדוק את הלוגים לפני שנסיק מסקנות.,neutral
seed_094,הקמנו קונטיינר נפרד לכל שירות וזה הקל מאוד על הפריסה.,positive
seed_095,קוברנטיס לא הצליח לתזמן את הפוד בגלל מחסור במשאבים.,negative
seed_096,הוספנו נוד חדש לקלאסטר וזה פתר את בעיית העומס לגמרי.,positive
seed_097,הסרבר נפל בשעת שיא והמון משתמשים לא הצליחו להתחבר.,negative
seed_098,הגייטוויי מנתב את כל הבקשות לשירותים הפנימיים.,neutral
seed_099,יש לנו לטנסי גבוהה בבקשות והלקוחות מתלוננים.,negative
seed_100,הפתרון הזה לא סקיילבילי ויקרוס ברגע שהעומס יגדל.,negative
seed_101,זה אוברהד מיותר לתחזק שני מערכות שעושות בדיוק אותו דבר.,negative
seed_102,המודל מוגבל למספר טוקנים מסוים בכל בקשה.,neutral
seed_103,עברנו את מגבלת הטוקנים והבקשה נכשלה.,negative
seed_104,קיבלתי בונוס יפה בסוף השנה על התרומה שלי לפרויקט.,positive
seed_105,הבונוס השנה היה נמוך משמעותית מהציפיות של הצוות.,negative
