id,text,reviewer1_sentiment
seed_068_30,ה-embeddings לא הצליחו להפריד בין ה-sentences בצורה clear.,negative
seed_069_0,הוספנו שכבת אחזור מידע עם וקטור דאטהבייס והתשובות הפכו הרבה יותר מדויקות.,positive
seed_002_30,ה-deployment קרס באמצע הלילה ו-literally נאלצנו לעשות rollback.,negative
seed_047_100,The merge went smoothly without any conflict.,positive
seed_035_60,Every sprint we plan יותר than what אנחנו actually get done.,negative
seed_065_0,המודל רץ באינפרנס עם זמן תגובה של כמה מאות מילישניות.,neutral
seed_023_30,"ה-onboarding process שלנו totally מבולגן, כל אחד מסביר לו משהו אחר.",negative
seed_095_60,Kubernetes couldn't schedule את the pod due to a lack of resources.,negative
seed_001_0,"הדיפלוי לייצור עבר חלק, בלי שום תקלה.",positive
seed_098_0,הגייטוויי מנתב את כל הבקשות לשירותים הפנימיים.,neutral
seed_064_30,ה-trace עזר לנו לאתר exactly איפה ה-request נתקעת.,positive
seed_006_100,It's 2am and we're still trying to bring the servers back up after the deployment.,negative
seed_047_30,ה-merge עבר smoothly בלי שום conflict.,positive
seed_011_100,Finally a meeting where everyone actually listened to each other and we reached an agreement.,positive
seed_025_100,The PR got twenty comments and the reviewer wasn't satisfied with anything.,negative
seed_063_30,קיבלנו dozens of alerts בלילה ואף אחד מהם לא היה really relevant.,negative
seed_060_0,הפייפליין נשבר בגלל שינוי קטן וכל הצוות נתקע בלי יכולת לשחרר קוד.,negative
seed_051_100,The new endpoint is going live at the end of the week.,neutral
seed_042_100,We updated the goals mid-quarter following a change in priorities.,neutral
seed_049_30,ה-pod קרס again וה-cluster לא הצליח להרים אותו מחדש.,negative
seed_095_0,קוברנטיס לא הצליח לתזמן את הפוד בגלל מחסור במשאבים.,negative
seed_066_60,After fine-tuning the model gave answers שwere much more accurate.,positive
seed_056_30,הוספנו index ל-table וה-query שהיה slow הפך למהיר פי ten.,positive
seed_014_100,We found the bug after two hours of searching and fixed it within fifteen minutes.,positive
seed_063_60,We got dozens of alerts בלילה ו-none of them were actually relevant.,negative
seed_042_60,We updated the goals באמצע the quarter following a change בpriorities.,neutral
seed_032_60,We didn't manage to close even half of the tasks שwe planned ב-sprint.,negative
seed_104_60,I got a nice bonus בסוף the year for my contribution ל-the project.,positive
seed_022_30,היא התאקלמה super fast והרגישה totally part מה-team כבר בשבוע הראשון.,positive
seed_057_100,We run a backup of the database every night.,neutral
seed_030_100,The reviewer rejected the PR without any real explanation.,negative
seed_025_30,ה-PR קיבל twenty comments וה-reviewer לא היה satisfied משום דבר.,negative
seed_002_100,The deployment crashed in the middle of the night and we had to do a rollback.,negative
seed_039_30,ה-goals ל-next quarter ייקבעו ב-leadership meeting בשבוע הבא.,neutral
seed_043_30,"עשיתי commit קטן וfocused, הכי easy להבין מה השתנה.",positive
seed_031_0,סגרנו את כל המשימות בספרינט וגם הקצב שלנו השתפר.,positive
seed_014_0,מצאנו את הבאג אחרי שעתיים חיפוש ותיקנו אותו תוך רבע שעה.,positive
seed_003_0,עשינו דיפלוי ביום חמישי אחר הצהריים וכולם ידעו שזה ייגמר רע.,negative
seed_035_0,כל ספרינט אנחנו מתכננים יותר ממה שאנחנו באמת מספיקים.,negative
seed_022_0,היא התאקלמה מהר מאוד והרגישה חלק מהצוות כבר בשבוע הראשון.,positive
seed_055_0,המיגרציה נכשלה באמצע והשארנו את הדאטהבייס במצב לא עקבי.,negative
seed_036_60,We collected all the open tasks ל-the next sprint.,neutral
seed_063_100,We got dozens of alerts overnight and none of them were actually relevant.,negative
seed_041_60,The goals שwere set were totally unrealistic from the start.,negative
seed_060_100,"The pipeline broke because of a small change and the whole team got stuck, unable to ship code.",negative
seed_066_0,אחרי הפיין-טיונינג המודל נתן תשובות הרבה יותר מדויקות.,positive
seed_074_60,I got a promotion to the next level אחרי a year of hard work.,positive
seed_032_30,לא הצלחנו לסגור אפילו half מה-tasks שתכננו ב-sprint.,negative
seed_070_30,ה-agent משתמש ב-external tools כדי להשלים את ה-task.,neutral
seed_096_30,הוספנו node חדש ל-cluster וזה פתר את ה-load issue totally.,positive
seed_008_0,הישיבה הפעם הייתה ממוקדת וסיימנו בזמן עם החלטות ברורות.,positive
seed_054_100,The docker container didn't come up on the new node due to a configuration issue.,negative
seed_100_60,This solution isn't scalable ו-it'll collapse the moment the load increases.,negative
seed_038_0,לא עמדנו באף אחד מהיעדים הרבעוניים והמנהלים לא מרוצים.,negative
seed_082_60,"The standup was short and focused, exactly like it should be.",positive
seed_015_60,The incident נמשכה all night ו-customers were complaining non-stop.,negative
seed_004_100,"We finally managed to get automatic deployment working, with zero manual intervention.",positive
seed_102_0,המודל מוגבל למספר טוקנים מסוים בכל בקשה.,neutral
seed_083_0,הגרומינג נמשך שעה שלמה על טיקט אחד קטן.,negative
seed_049_60,The pod crashed again ו-the cluster couldn't bring it back up.,negative
seed_029_30,ה-comments ב-review עזרו לי לראות issue שלא הייתי שם לב אליה.,positive
seed_097_30,ה-server נפל בשעת peak והמון users לא הצליחו להתחבר.,negative
seed_102_100,The model is limited to a certain number of tokens per request.,neutral
seed_017_60,We're investigating את the root cause of yesterday's incident.,neutral
seed_004_30,"סוף סוף הצלחנו לעשות automatic deployment, totally בלי manual intervention.",positive
seed_095_100,Kubernetes couldn't schedule the pod due to a lack of resources.,negative
seed_105_30,ה-bonus השנה היה significantly lower מ-expectations של ה-team.,negative
seed_052_100,The load balancer didn't distribute the traffic correctly and one server crashed from overload.,negative
seed_067_0,הפרומפט לא עבד טוב והמודל החזיר תשובות לא רלוונטיות.,negative
seed_034_100,The team worked really well together and the velocity was the highest we've had.,positive
seed_078_0,בוא נעשה סינק קצר לפני הישיבה.,neutral
seed_068_100,The embeddings didn't manage to separate the sentences clearly.,negative
seed_007_0,הישיבה נמשכה שעתיים ולא יצא ממנה שום דבר קונקרטי.,negative
seed_045_30,פתחתי branch חדש בשביל ה-feature.,neutral
seed_098_100,The gateway routes all the requests to the internal services.,neutral
seed_066_30,אחרי ה-fine-tuning ה-model נתן answers הרבה יותר accurate.,positive
seed_102_30,ה-model מוגבל ל-number של tokens מסוים בכל request.,neutral
seed_084_100,Our estimation was totally off — it took three times as long.,negative
seed_073_30,שלחתי referral לחבר שלי ל-position ב-team.,neutral
seed_082_100,"The standup was short and focused, exactly the way it should be.",positive
seed_002_0,הדיפלוי קרס באמצע הלילה ונאלצנו לעשות רולבק.,negative
seed_053_0,הוספנו קאש וזמן התגובה של הקליינט ירד דרמטית.,positive
seed_072_0,הסקרינינג הראשון היה ממש לא מאורגן ולקח שבועיים לקבל תשובה.,negative
seed_055_30,ה-migration נכשלה באמצע והשארנו את ה-database במצב inconsistent.,negative
seed_062_30,יש לנו dashboard שמציג את כל ה-metrics של ה-infra.,neutral
seed_088_30,ה-release יצא on time ובלי אף known bug.,positive
seed_044_30,ה-rebase יצא really complicated ונתקענו איתו כל ה-morning.,negative
seed_038_100,We didn't hit any of the quarterly goals and the managers aren't satisfied.,negative
seed_029_0,ההערות בסקירה עזרו לי לראות בעיה שלא הייתי שם לב אליה.,positive
seed_093_30,בוא נבדוק את ה-logs לפני שנסיק conclusions.,neutral
seed_064_0,הטרייס עזר לנו לאתר בדיוק איפה הבקשה נתקעת.,positive
seed_006_0,השעה שתיים בלילה ואנחנו עדיין מנסים להעלות את השרתים אחרי הדיפלוי.,negative
seed_046_100,I tried to push and ran into conflicts in every file.,negative
seed_076_0,יש לנו בלוקר שמונע מאיתנו להתקדם כבר יומיים.,negative
seed_098_30,ה-gateway מנתב את כל ה-requests ל-internal services.,neutral
seed_099_100,We have high latency on requests and customers are complaining.,negative
seed_009_60,We have a status meeting כל Monday morning.,neutral
seed_043_0,"עשיתי קומיט קטן וממוקד, הכי קל להבין מה השתנה.",positive
seed_024_0,בזכות המנטור הוא כבר הבין את כל הארכיטקטורה תוך שבוע.,positive
seed_063_0,קיבלנו עשרות אלרטים בלילה ואף אחד מהם לא היה רלוונטי באמת.,negative
seed_049_100,The pod crashed again and the cluster couldn't bring it back up.,negative
seed_065_60,The model runs באינפרנס with a response time of a few hundred milliseconds.,neutral
seed_067_30,ה-prompt לא עבד well וה-model החזיר irrelevant answers.,negative
seed_083_100,The grooming session went on for a whole hour over one small ticket.,negative
seed_043_100,"I made a small, focused commit — the easiest way to understand what changed.",positive
seed_016_100,"The issue was resolved fast thanks to the team, which reacted within minutes.",positive
seed_024_30,בזכות ה-mentor הוא כבר הבין את כל ה-architecture תוך week.,positive
seed_090_60,We released a small patch ל-fix yesterday's issue.,positive
seed_086_0,העליתי את הריפו לגישה של כל הצוות.,neutral
seed_046_0,ניסיתי לעשות פוש ונתקלתי בקונפליקטים בכל קובץ.,negative
seed_099_0,יש לנו לטנסי גבוהה בבקשות והלקוחות מתלוננים.,negative
seed_058_0,השאילתה הזאת סורקת את כל הטייבל וזה הורג את הביצועים.,negative
seed_105_100,The bonus this year was significantly lower than the team's expectations.,negative
seed_007_100,The meeting dragged on for two hours and literally nothing concrete came out of it.,negative
seed_089_100,I did a quick fix for the critical bug within ten minutes.,positive
seed_037_60,"The team hit the goals השנה, everyone is totally proud of the achievement.",positive
seed_026_60,The code review went fast ו-I got really helpful comments.,positive
seed_041_30,ה-goals שהוגדרו היו totally unrealistic מלכתחילה.,negative
seed_089_30,עשיתי fix fast ל-critical bug תוך ten minutes.,positive
seed_084_30,"ה-estimation שלנו הייתה totally off, לקח פי three מהזמן.",negative
seed_021_0,העובד החדש מתחיל השבוע ויעבור הדרכה עם הצוות.,neutral
seed_040_0,"היעד המרכזי הושג מוקדם מהצפוי, זה הישג ממש יפה.",positive
seed_085_0,"האונר של הטיקט הזה לא ברור, כל אחד חושב שזה מישהו אחר.",negative
seed_087_30,ה-build נכשל בגלל dependency שהשתנתה בלי שידענו.,negative
seed_076_60,We have a blocker שpreventing us from moving forward for two days already.,negative
seed_021_30,ה-new employee מתחיל השבוע ויעבור training עם ה-team.,neutral
seed_069_30,הוספנו retrieval layer עם vector database והתשובות הפכו הרבה יותר accurate.,positive
seed_078_30,בוא נעשה sync קצר לפני ה-meeting.,neutral
seed_103_0,עברנו את מגבלת הטוקנים והבקשה נכשלה.,negative
seed_097_60,The server went down בpeak hours ו-a ton of users couldn't connect.,negative
seed_030_30,ה-reviewer דחה את ה-PR בלי real explanation.,negative
seed_005_0,הדיפלוי הבא מתוכנן ליום שלישי בבוקר.,neutral
seed_031_100,We closed all the tasks in the sprint and our velocity totally improved.,positive
seed_055_60,The migration failed באמצע ו-we left the database in an inconsistent state.,negative
seed_044_0,הריבייס יצא ממש מסובך ונתקענו איתו כל הבוקר.,negative
seed_020_100,Nobody set up his dev environment and he sat without access for two full days.,negative
seed_100_30,ה-solution הזה לא scalable ויקרוס ברגע שה-load יגדל.,negative
seed_002_60,The deployment קרס באמצע the night ו-we had to do a rollback.,negative
seed_008_30,ה-meeting הפעם הייתה focused וסיימנו בזמן עם clear decisions.,positive
seed_073_0,שלחתי רפרל לחבר שלי לתפקיד בצוות.,neutral
seed_037_0,"הצוות עמד ביעדים השנה, כולם ממש גאים בהישג.",positive
seed_021_100,The new employee starts this week and will go through training with the team.,neutral
seed_061_30,הוספנו monitoring ו-metrics וכל issue נתפסת much earlier לפני שהיא מגיעה ל-customers.,positive
seed_035_100,Every sprint we plan more than what we actually manage to finish.,negative
seed_079_100,Give me an update on this ticket.,neutral
seed_073_60,I sent a referral לa friend of mine ל-a position on the team.,neutral
seed_027_100,The code has been waiting for review for two days already.,negative
seed_086_100,I made the repo accessible to the whole team.,neutral
seed_057_60,We run a backup ל-the database כל night.,neutral
seed_010_60,They invited אותי to another meeting that could literally have been an email.,negative
seed_027_0,הקוד ממתין לסקירה כבר יומיים.,negative
seed_018_0,זו כבר התקרית השלישית השבוע באותו רכיב בדיוק.,negative
seed_009_30,יש לנו status meeting כל יום שני בבוקר.,neutral
seed_034_60,The team worked really well together ו-the velocity was the highest שwe've had.,positive
seed_094_30,הקמנו container נפרד לכל service וזה הקל very much על ה-deployment.,positive
seed_038_30,לא עמדנו באף אחד מה-quarterly goals וה-managers לא satisfied.,negative
seed_083_60,The grooming session went on for a whole hour על one small ticket.,negative
seed_027_30,ה-code ממתין ל-review כבר two days.,negative
seed_051_60,The new endpoint is going live בסוף the week.,neutral
seed_090_0,שחררנו פאץ' קטן לתיקון הבעיה מאתמול.,positive
seed_094_0,הקמנו קונטיינר נפרד לכל שירות וזה הקל מאוד על הפריסה.,positive
seed_051_30,ה-new endpoint עולה בסוף ה-week.,neutral
seed_069_100,We added a retrieval layer with a vector database and the answers became much more accurate.,positive
seed_011_0,סוף סוף ישיבה שבה כולם הקשיבו אחד לשני והגענו להסכמה.,positive
seed_093_0,בוא נבדוק את הלוגים לפני שנסיק מסקנות.,neutral
seed_015_100,The incident dragged on all night and customers were complaining non-stop.,negative
seed_032_0,לא הצלחנו לסגור אפילו חצי מהמשימות שתכננו בספרינט.,negative
seed_104_30,קיבלתי bonus יפה בסוף ה-year על ה-contribution שלי ל-project.,positive
seed_028_100,"Nobody has checked my code for a week already, it's totally stuck.",negative
seed_090_30,שחררנו patch קטן ל-fix ה-issue מאתמול.,positive
seed_065_30,ה-model רץ ב-inference עם response time של כמה מאות milliseconds.,neutral
seed_072_100,The first screening was really unorganized and it took two weeks to get an answer.,negative
seed_033_0,הספרינט הבא מתחיל ביום ראשון ונמשך שבועיים.,neutral
seed_089_60,I did a quick fix ל-the critical bug תוך ten minutes.,positive
seed_016_60,The issue was resolved fast thanks to the team שreacted תוך minutes.,positive
seed_012_60,"The meeting got canceled ברגע last minute, the third time החודש.",negative
seed_080_30,ה-ticket הזה כבר two weeks ב-backlog ואף אחד לא נגע בו.,negative
seed_012_0,הישיבה בוטלה ברגע האחרון בפעם השלישית החודש.,negative
seed_054_30,ה-docker לא עלה על ה-new node בגלל configuration issue.,negative
seed_096_0,הוספנו נוד חדש לקלאסטר וזה פתר את בעיית העומס לגמרי.,positive
seed_084_0,"האסטימציה שלנו הייתה רחוקה מהמציאות, לקח פי שלוש מהזמן.",negative
seed_072_30,ה-first screening היה really unorganized ולקח two weeks לקבל answer.,negative
seed_010_0,זימנו אותי לעוד ישיבה שיכלה להיות מייל.,negative
seed_020_30,אף אחד לא הכין לו dev environment והוא ישב בלי access יומיים שלמים.,negative
seed_069_60,We added a retrieval layer עם a vector database ו-the answers became much more accurate.,positive
seed_009_0,יש לנו ישיבת סטטוס כל יום שני בבוקר.,neutral
seed_062_100,We have a dashboard that shows all the infra metrics.,neutral
seed_070_100,The agent uses external tools to complete the task.,neutral
seed_026_30,ה-code review עברה fast וקיבלתי really useful comments.,positive
seed_087_60,The build failed בגלל a dependency שchanged without us knowing.,negative
seed_085_100,"The owner of this ticket isn't clear, everyone thinks it's someone else.",negative
seed_068_0,האמבדינגים לא הצליחו להפריד בין המשפטים בצורה ברורה.,negative
seed_073_100,I sent a referral for a friend of mine for a position on the team.,neutral
seed_058_30,ה-query הזאת סורקת את כל ה-table וזה totally הורג את ה-performance.,negative
seed_044_60,The rebase turned out really complicated ו-we got stuck with it all morning.,negative
seed_001_60,"The deployment ל-production was חלק, totally no issues.",positive
seed_018_100,This is already the third incident this week on the exact same component.,negative
seed_061_60,We added monitoring and metrics ו-every issue gets caught much earlier before it reaches customers.,positive
seed_099_60,We have high latency ב-requests ו-customers are complaining.,negative
seed_013_100,We have a critical bug in production and the system is crashing every few minutes.,negative
seed_081_100,"The retro this time was totally honest and open, everyone raised real points.",positive
seed_025_0,הפול ריקווסט קיבל עשרים הערות והמבקר לא היה מרוצה משום דבר.,negative
seed_036_30,אספנו את כל ה-open tasks ל-next sprint.,neutral
seed_054_0,הדוקר לא עלה על הנוד החדש בגלל בעיית קונפיגורציה.,negative
seed_096_60,We added a new node ל-the cluster ו-it totally solved the load issue.,positive
seed_084_60,"Our estimation was totally off, it took three times as long.",negative
seed_088_60,The release went out on time ובלי any known bug.,positive
seed_075_60,The feedback I got was too generic ולא helped me understand what to improve.,negative
seed_099_30,יש לנו high latency ב-requests וה-customers מתלוננים.,negative
seed_061_0,הוספנו מוניטורינג ומטריקות וכל בעיה נתפסת הרבה לפני שהיא מגיעה ללקוחות.,positive
seed_092_0,בזבזתי את כל הבוקר בדיבאג של בעיה שהתבררה כטריוויאלית.,negative
seed_034_30,ה-team עבד really well יחד וה-velocity היה ה-highest שהיה לנו.,positive
seed_046_60,I tried to push ו-ran into conflicts בevery file.,negative
seed_037_30,"ה-team עמד ב-OKRs השנה, כולם totally גאים ב-achievement.",positive
seed_046_30,ניסיתי לעשות push ונתקלתי ב-conflicts בכל file.,negative
seed_059_60,We updated the schema בלי breaking any existing service.,positive
seed_097_0,הסרבר נפל בשעת שיא והמון משתמשים לא הצליחו להתחבר.,negative
seed_023_100,Our onboarding process is totally messy — everyone explains something different to him.,negative
seed_050_30,ה-move ל-microservices הפחית significantly את הזמן שלוקח לשחרר feature.,positive
seed_040_30,"ה-main goal הושג earlier מהצפוי, זה really nice achievement.",positive
seed_038_60,We didn't hit any of the quarterly goals ו-the managers aren't satisfied.,negative
seed_066_100,"After fine-tuning, the model gave answers that were much more accurate.",positive
seed_081_30,"ה-retro הפעם היה totally honest ו-open, כולם raised real points.",positive
seed_045_100,I opened a new branch for the feature.,neutral
seed_092_30,בזבזתי את כל ה-morning ב-debug של issue שהתבררה כtrivial.,negative
seed_071_60,I got an offer אחרי the onsite ו-it totally felt like a huge achievement.,positive
seed_101_60,It's unnecessary overhead לmaintain two systems that do exactly the same thing.,negative
seed_057_0,אנחנו מריצים בקאפ לדאטהבייס כל לילה.,neutral
seed_011_30,סוף סוף meeting שבה כולם totally הקשיבו אחד לשני והגענו ל-agreement.,positive
seed_034_0,הצוות עבד ממש טוב יחד והקצב היה הכי גבוה שהיה לנו.,positive
seed_060_60,The pipeline broke בגלל a small change ו-the whole team got stuck unable to ship code.,negative
seed_043_60,"I made a small, focused commit, the easiest way להבין what changed.",positive
seed_041_0,היעדים שהוגדרו היו לא ריאליים מלכתחילה.,negative
seed_017_0,אנחנו חוקרים את הסיבה לתקרית מאתמול.,neutral
seed_068_60,The embeddings didn't manage להפריד between the sentences clearly.,negative
seed_100_100,This solution isn't scalable and it'll collapse the moment the load increases.,negative
seed_098_60,The gateway routes all the requests לthe internal services.,neutral
seed_064_100,The trace helped us pinpoint exactly where the request gets stuck.,positive
seed_096_100,We added a new node to the cluster and it totally solved the load issue.,positive
seed_019_60,"The onboarding של the new employee went totally smoothly, he already contributed code ביום שלישי.",positive
seed_005_100,The next deployment is scheduled for Tuesday morning.,neutral
seed_058_60,This query scans את the whole table ו-it's totally killing performance.,negative
seed_033_60,The next sprint starts ביום ראשון and lasts two weeks.,neutral
seed_054_60,The docker container didn't come up ה-new node due to a configuration issue.,negative
seed_047_0,המרג' עבר חלק בלי שום קונפליקט.,positive
seed_079_30,תן לי update על ה-ticket הזה.,neutral
seed_029_100,The comments in the review helped me see an issue I wouldn't have noticed otherwise.,positive
seed_094_100,We set up a separate container for each service and it made deployment much easier.,positive
seed_079_60,Give me an update על this ticket.,neutral
seed_003_60,We did a deployment ביום חמישי afternoon ו-everyone totally knew it would end badly.,negative
seed_039_100,The goals for next quarter will be set in the leadership meeting next week.,neutral
seed_042_0,עדכנו את היעדים באמצע הרבעון בעקבות שינוי בעדיפויות.,neutral
seed_086_60,I uploaded the repo לaccess by the whole team.,neutral
seed_086_30,העליתי את ה-repo ל-access של כל ה-team.,neutral
seed_095_30,kubernetes לא הצליח לתזמן את ה-pod בגלל lack ב-resources.,negative
seed_019_30,"ה-onboarding של ה-new employee הלכה totally חלק, הוא כבר contributed code ביום השלישי.",positive
seed_053_60,We added a cache ו-the client's response time dropped dramatically.,positive
seed_056_100,We added an index to the table and the slow query became ten times faster.,positive
seed_075_0,הפידבק שקיבלתי היה כללי מדי ולא עזר לי להבין מה לשפר.,negative
seed_010_100,They invited me to another meeting that could literally have been an email.,negative
seed_031_60,We closed all the tasks ב-sprint ו-our velocity totally improved.,positive
seed_074_30,קיבלתי promotion ל-next level אחרי year של hard work.,positive
seed_018_60,This is already the third incident השבוע on the exact same component.,negative
seed_053_100,We added a cache and the client's response time dropped dramatically.,positive
seed_022_100,She adjusted super fast and felt totally part of the team already in the first week.,positive
seed_006_60,It's 2am ואנחנו still trying להעלות the servers after the deployment.,negative
seed_045_0,פתחתי ברנצ' חדש בשביל הפיצ'ר.,neutral
seed_036_100,We collected all the open tasks for the next sprint.,neutral
seed_056_60,We added an index ל-the table ו-the slow query became ten times faster.,positive
seed_050_60,The move to microservices significantly reduced את the time it takes to ship a feature.,positive
seed_028_30,"אף אחד לא בדק את ה-code שלי כבר week, זה totally תקוע.",negative
seed_008_100,The meeting this time was focused and we finished on time with clear decisions.,positive
seed_014_60,We found the bug אחרי two hours of search ו-fixed it תוך fifteen minutes.,positive
seed_048_100,Someone pushed straight to the main branch without doing a PR.,negative
seed_082_0,"הסטנדאפ היה קצר וממוקד, בדיוק כמו שצריך.",positive
seed_070_0,האייג'נט משתמש בכלים חיצוניים כדי להשלים את המשימה.,neutral
seed_018_30,זו כבר ה-third incident השבוע באותו component בדיוק.,negative
seed_071_100,I got an offer after the onsite and it totally felt like a huge achievement.,positive
seed_088_0,הריליס יצא בזמן ובלי אף באג ידוע.,positive
seed_003_100,We deployed on Thursday afternoon and everyone knew it was going to end badly.,negative
seed_029_60,The comments in the review helped me see an issue שI wouldn't have noticed.,positive
seed_081_60,"The retro הפעם was totally honest and open, everyone raised real points.",positive
seed_091_100,The refactor took much more time than we planned and it almost broke everything.,negative
seed_039_60,The goals for the next quarter will be set ב-the leadership meeting next week.,neutral
seed_025_60,The PR got twenty comments ו-the reviewer wasn't satisfied with anything.,negative
seed_075_100,The feedback I got was too generic and didn't help me understand what to improve.,negative
seed_092_60,I wasted the whole morning debugging an issue שturned out to be trivial.,negative
seed_050_0,המעבר למיקרוסרביסים הפחית משמעותית את הזמן שלוקח לשחרר פיצ'ר.,positive
seed_090_100,We released a small patch to fix yesterday's issue.,positive
seed_103_30,עברנו את ה-token limit וה-request נכשלה.,negative
seed_004_60,"Finally הצלחנו to do automatic deployment, totally without manual intervention.",positive
seed_081_0,"הרטרו הפעם היה כן ופתוח, כולם העלו נקודות אמיתיות.",positive
seed_076_30,יש לנו blocker שמונע מאיתנו להתקדם כבר two days.,negative
seed_101_0,זה אוברהד מיותר לתחזק שני מערכות שעושות בדיוק אותו דבר.,negative
seed_033_30,ה-next sprint מתחיל ביום ראשון ונמשך two weeks.,neutral
seed_078_100,Let's do a quick sync before the meeting.,neutral
seed_074_0,קיבלתי פרומושן ללבל הבא אחרי שנה של עבודה קשה.,positive
seed_093_60,Let's check the logs לפני we jump to conclusions.,neutral
seed_077_100,This deadline is totally unrealistic from the start and we're not going to make it.,negative
seed_006_30,השעה שתיים בלילה ואנחנו still מנסים להעלות את ה-servers אחרי ה-deployment.,negative
seed_027_60,The code has been waiting ל-review כבר two days.,negative
seed_052_0,הלואד באלאנסר לא חילק את התעבורה נכון והשרת אחד קרס מעומס.,negative
